"Disease ID","Entrez ID"
"D0001","1586"
"D0003","3028"
"D0004","36"
"D0005","3284"
"D0006","3033"
"D0007","56922"
"D0007","64087"
"D0008","549"
"D0009","80207"
"D0010","9820"
"D0012","7172"
"D0013","2245"
"D0014","3106"
"D0015","1910"
"D0017","4547"
"D0017","338"
"D0018","6662"
"D0021","847"
"D0022","4193"
"D0024","8086"
"D0025","64327"
"D0026","1280"
"D0027","1836"
"D0028","2261"
"D0029","1261"
"D0029","54714"
"D0029","2780"
"D0030","3483"
"D0031","3757"
"D0032","2737"
"D0033","3549"
"D0034","55630"
"D0036","488"
"D0038","2778"
"D0038","6755"
"D0039","8200"
"D0039","4882"
"D0044","33"
"D0044","34"
"D0044","35"
"D0045","1956"
"D0045","673"
"D0045","2064"
"D0045","5071"
"D0046","324"
"D0047","4595"
"D0047","5324"
"D0047","324"
"D0049","100"
"D0050","158"
"D0052","9370"
"D0053","1584"
"D0053","1589"
"D0053","5447"
"D0053","190"
"D0054","5573"
"D0055","9095"
"D0056","215"
"D0056","5192"
"D0056","5194"
"D0056","5189"
"D0056","55670"
"D0056","5830"
"D0057","215"
"D0058","2651"
"D0059","8626"
"D0060","8864"
"D0061","2243"
"D0061","2244"
"D0063","3507"
"D0063","3543"
"D0063","56262"
"D0063","695"
"D0064","2628"
"D0065","9990"
"D0069","471"
"D0070","3811"
"D0070","3458"
"D0070","6387"
"D0071","182"
"D0072","4948"
"D0072","7299"
"D0072","7306"
"D0074","3356"
"D0075","2555"
"D0076","226"
"D0077","1585"
"D0078","1584"
"D0079","2670"
"D0079","4723"
"D0080","3081"
"D0082","6567"
"D0083","3596"
"D0085","55806"
"D0086","5428"
"D0087","12"
"D0088","89"
"D0090","38"
"D0091","23600"
"D0092","546"
"D0094","1287"
"D0094","1285"
"D0094","1286"
"D0095","7840"
"D0096","477"
"D0097","79058"
"D0098","351"
"D0098","348"
"D0098","5664"
"D0098","323"
"D0098","4846"
"D0098","5328"
"D0098","1636"
"D0098","4353"
"D0098","22976"
"D0098","2"
"D0098","642"
