"ID","Name","Disorder class","Type"
"D0001","17,20-lyase_deficiency","Endocrine","Disease"
"D0003","2-methyl-3-hydroxybutyryl-CoA_dehydrogenase_deficiency","Metabolic","Disease"
"D0004","2-methylbutyrylglycinuria","Metabolic","Disease"
"D0005","3-beta-hydroxysteroid_dehydrogenase,_type_II,_deficiency","Metabolic","Disease"
"D0006","3-hydroxyacyl-CoA_dehydrogenase_deficiency","Metabolic","Disease"
"D0007","3-Methylcrotonyl-CoA_carboxylase_deficiency","Metabolic","Disease"
"D0008","3-methylglutaconic_aciduria","Metabolic","Disease"
"D0009","3-methylglutaconicaciduria","Metabolic","Disease"
"D0010","3-M_syndrome","multiple","Disease"
"D0012","6-mercaptopurine_sensitivity","Metabolic","Disease"
"D0013","Aarskog-Scott_syndrome","multiple","Disease"
"D0014","Abacavir_hypersensitivity","Immunological","Disease"
"D0015","ABCD_syndrome","multiple","Disease"
"D0017","Abetalipoproteinemia","Metabolic","Disease"
"D0018","Acampomelic_campolelic_dysplasia","Skeletal","Disease"
"D0021","Acatalasemia","Hematological","Disease"
"D0022","Accelerated_tumor_formation","Cancer","Disease"
"D0024","Achalasia-addisonianism-alacrimia_syndrome","multiple","Disease"
"D0025","Acheiropody","Skeletal","Disease"
"D0026","Achondrogenesis-hypochondrogenesis,_type_II","Bone","Disease"
"D0027","Achondrogenesis_Ib","Bone","Disease"
"D0028","Achondroplasia","Skeletal","Disease"
"D0029","Achromatopsia","Ophthamological","Disease"
"D0030","Acid-labile_subunit,_deficiency_of","Endocrine","Disease"
"D0031","Acquired_long_QT_syndrome","Cardiovascular","Disease"
"D0032","Acrocallosal_syndrome","multiple","Disease"
"D0033","Acrocapitofemoral_dysplasia","Skeletal","Disease"
"D0034","Acrodermatitis_enteropathica","Dermatological","Disease"
"D0036","Acrokeratosis_verruciformis","Dermatological","Disease"
"D0038","Acromegaly","Endocrine","Disease"
"D0039","Acromesomelic_dysplasia","Skeletal","Disease"
"D0044","Acyl-CoA_dehydrogenase,_deficiency_of","Metabolic","Disease"
"D0045","Adenocarcinoma","Cancer","Disease"
"D0046","Adenoma,_periampullary","Cancer","Disease"
"D0047","Adenomas","Cancer","Disease"
"D0049","Adenosine_deaminase_deficiency","Immunological","Disease"
"D0050","Adenylosuccinase_deficiency","Metabolic","Disease"
"D0052","Adiponectin_deficiency","Endocrine","Disease"
"D0053","Adrenal_hyperplasia,_congenital","Endocrine","Disease"
"D0054","Adrenocortical_carcinoma","Cancer","Disease"
"D0055","Adrenocorticotropic_hormone_deficiency","Endocrine","Disease"
"D0056","Adrenoleukodystrophy","Neurological","Disease"
"D0057","Adrenomyeloneuropathy","Metabolic","Disease"
